outlet,filename,entity_type,context,descriptors_list,cluster_id,cluster_label
FOX,Fox_18.txt,Shooter,"The suspect in President Biden, Salvador Ramos, was 18.",was,0,"Passive State (was, being)"
CNN,cnn_3_May24.txt,Shooter,"An 18-year-old man An 18-year-old man there was an ""active shooter"" at An 18-year-old man at 12:17 p.m.",active,1,"Investigation Status (active, identified)"
CNN,cnn_2_May24.txt,Shooter,"A suspect A suspect A suspect was an ""active shooter"" at A suspect at 12:17 p.m.",was,0,"Passive State (was, being)"
CNN,cnn_2_May24.txt,Shooter,"A suspect A suspect A suspect was an ""active shooter"" at A suspect at 12:17 p.m.",active,1,"Investigation Status (active, identified)"
CNN,cnn_2_May24.txt,Shooter,A suspect local time and said A suspect was on A suspect.,was,0,"Passive State (was, being)"
CNN,cnn_2_May24.txt,Shooter,"A suspect was A suspect into A suspect, according to the A suspect Police Department.",was,0,"Passive State (was, being)"
CNN,cnn_2_May24.txt,Shooter,"A suspect A suspect in A suspect, and A suspect received A suspect, said Tom Nordwick, a spokesperson from A suspect.",received,1,"Investigation Status (active, identified)"
CNN,cnn_2_May24.txt,Shooter,"A suspect A suspect in A suspect, and A suspect received A suspect, said Tom Nordwick, a spokesperson from A suspect.",received,1,"Investigation Status (active, identified)"
CNN,cnn_2_May24.txt,Shooter,"A suspect were transported to A suspect and A suspect is pending transfer, A suspect said.",said,2,"Attribution (said, told)"
CNN,cnn_2_May24.txt,Shooter,"A man in A suspect's 40s was also being treated, A suspect said.",said,2,"Attribution (said, told)"
CNN,cnn_1_May24.txt,Shooter,"A suspect is in A suspect after a shooting incident at Robb Elementary School in Uvalde, A suspect, left A suspect dead and injured 14 people, including A suspect, authorities A suspect.",dead,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_1_May24.txt,Shooter,"A suspect A suspect about an ""active shooter"" at A suspect at 12:17 p.m. local time and said A suspect was on A suspect.",active,1,"Investigation Status (active, identified)"
CNN,cnn_1_May24.txt,Shooter,"A suspect A suspect about an ""active shooter"" at A suspect at 12:17 p.m. local time and said A suspect was on A suspect.",was,0,"Passive State (was, being)"
CNN,cnn_1_May24.txt,Shooter,"A suspect was A suspect into A suspect as of 1:06 p.m. local time, according to the A suspect Police Department.",was,0,"Passive State (was, being)"
CNN,cnn_1_May24.txt,Shooter,"A suspect have A suspect after the shooting at A suspect, a spokesperson from A suspect A suspect A suspect.",have,2,"Attribution (said, told)"
CNN,cnn_1_May24.txt,Shooter,"A suspect received A suspect at A suspect's facility who were being treated for varying injuries, A suspect said.",received,1,"Investigation Status (active, identified)"
CNN,cnn_1_May24.txt,Shooter,"A suspect received A suspect at A suspect's facility who were being treated for varying injuries, A suspect said.",said,2,"Attribution (said, told)"
CNN,cnn_1_May24.txt,Shooter,"A suspect were transported to A suspect and A suspect is pending transfer, A suspect said.",said,2,"Attribution (said, told)"
CNN,cnn_5_May24.txt,Shooter,"An 18-year-old gunman on An 18-year-old gunman fatally An 18-year-old gunman An 18-year-old gunman and An 18-year-old gunman at a An 18-year-old gunman elementary school before An 18-year-old gunman was An 18-year-old gunman by An 18-year-old gunman, An 18-year-old gunman An 18-year-old gunman.",old,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_5_May24.txt,Shooter,"An 18-year-old gunman on An 18-year-old gunman fatally An 18-year-old gunman An 18-year-old gunman and An 18-year-old gunman at a An 18-year-old gunman elementary school before An 18-year-old gunman was An 18-year-old gunman by An 18-year-old gunman, An 18-year-old gunman An 18-year-old gunman.",was,0,"Passive State (was, being)"
CNN,cnn_5_May24.txt,Shooter,"An 18-year-old gunman on An 18-year-old gunman fatally An 18-year-old gunman An 18-year-old gunman and An 18-year-old gunman at a An 18-year-old gunman elementary school before An 18-year-old gunman was An 18-year-old gunman by An 18-year-old gunman, An 18-year-old gunman An 18-year-old gunman.",old,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_5_May24.txt,Shooter,"An 18-year-old gunman on An 18-year-old gunman fatally An 18-year-old gunman An 18-year-old gunman and An 18-year-old gunman at a An 18-year-old gunman elementary school before An 18-year-old gunman was An 18-year-old gunman by An 18-year-old gunman, An 18-year-old gunman An 18-year-old gunman.",old,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_5_May24.txt,Shooter,"An 18-year-old gunman on An 18-year-old gunman fatally An 18-year-old gunman An 18-year-old gunman and An 18-year-old gunman at a An 18-year-old gunman elementary school before An 18-year-old gunman was An 18-year-old gunman by An 18-year-old gunman, An 18-year-old gunman An 18-year-old gunman.",old,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_5_May24.txt,Shooter,"An 18-year-old gunman on An 18-year-old gunman fatally An 18-year-old gunman An 18-year-old gunman and An 18-year-old gunman at a An 18-year-old gunman elementary school before An 18-year-old gunman was An 18-year-old gunman by An 18-year-old gunman, An 18-year-old gunman An 18-year-old gunman.",old,3,"Identity & Outcome (dead, former, old)"
CNN,cnn_5_May24.txt,Shooter,"An 18-year-old gunman on An 18-year-old gunman fatally An 18-year-old gunman An 18-year-old gunman and An 18-year-old gunman at a An 18-year-old gunman elementary school before An 18-year-old gunman was An 18-year-old gunman by An 18-year-old gunman, An 18-year-old gunman An 18-year-old gunman.",old,3,"Identity & Outcome (dead, former, old)"
